artist_name,concert_name,city,venue,show_time,price_text,sale_status,source_url,collected_at
郑润泽,郑润泽《旷野》2026巡回演唱会—武汉站,武汉,武汉光谷国际网球中心（中央球场）,2026-04-25 19:00,398/598/798/998/1198,待定,https://www.wuhan.gov.cn/zjwh/whrw/202602/t20260227_2732780.shtml,2026-08-19T02:39:14
安又琪,安又琪《Love·有你陪着我》巡回演唱会（武汉站）,武汉,武钢体育中心·体育馆,2026-04-25 19:30,280/480/680,待定,https://www.wuhan.gov.cn/zjwh/whrw/202602/t20260227_2732780.shtml,2026-08-19T02:39:14
苏见信,苏见信《尽兴而活》2026巡回演唱会—武汉站,武汉,湖北省奥林匹克中心体育馆,2026-05-23 19:00,280/480/680/880/980,待定,https://www.wuhan.gov.cn/zjwh/whrw/202602/t20260227_2732780.shtml,2026-08-19T02:39:14
时代少年团,时代少年团《加冠礼》演唱会—《冠军》上海站（4场）,上海,上海体育场,2025-08-20 19:30,480/680/980/1280/1480/1580/1880,售票中,https://news.qq.com/rain/a/20250808A0470R00,2026-08-19T02:39:14
周笔畅,《天呐！我怎么会变成这样》周笔畅2025巡回演唱会上海站,上海,浦发银行东方体育中心体育馆,2025-09-06 19:00,380/680/980/1380,售票中,https://news.qq.com/rain/a/20250808A0470R00,2026-08-19T02:39:14
潘玮柏,潘玮柏《狂爱2.0》巡回演唱会—上海站（2场）,上海,浦发银行东方体育中心,2025-08-30 19:30,480/680/880/1080/1380,售票中,https://news.qq.com/rain/a/20250808A0470R00,2026-08-19T02:39:14
Capper,2025 Capper《Who Am I》巡回演唱会—上海站,上海,徐家汇体育公园·上海体育馆,2025-08-16 19:00,380/580/780/980,售票中,https://news.qq.com/rain/a/20250808A0470R00,2026-08-19T02:39:14
罗言,罗言《EXIT》2025全国巡回演唱会—上海站,上海,上海静安体育中心·体育馆,2025-09-20 19:30,288/488/688/888,待定,https://news.qq.com/rain/a/20250808A0470R00,2026-08-19T02:39:14
沙一汀,沙一汀EL《听汀》上海演唱会,上海,梅赛德斯—奔驰文化中心,2025-10-03 19:30,待定,待定,https://news.qq.com/rain/a/20250808A0470R00,2026-08-19T02:39:14
张艺兴,张艺兴《大航海5·闹天宫》巡回演唱会—上海站（2场）,上海,梅赛德斯—奔驰文化中心,2025-09-13 19:30,待定,待定,https://news.qq.com/rain/a/20250808A0470R00,2026-08-19T02:39:14
张学友,JACKY CHEUNG 60+ CONCERT TOUR 张学友60+巡回演唱会上海站（6场）,上海,上海东方体育中心,2025-09-19 19:00,待定,待定,https://news.qq.com/rain/a/20250808A0470R00,2026-08-19T02:39:14
张震岳,张震岳《跟着感觉走》巡回演唱会—上海站,上海,上海体育馆,2025-10-25 19:30,待定,待定,https://news.qq.com/rain/a/20250808A0470R00,2026-08-19T02:39:14
谭咏麟,谭咏麟经典传奇巡回演唱会—上海站,上海,上海虹口足球场,2025-11-01 18:45,待定,待定,https://news.qq.com/rain/a/20250808A0470R00,2026-08-19T02:39:14
周杰伦,2025周杰伦嘉年华世界巡回演唱会—上海站（3场）,上海,上海体育场,2025-10-09 19:00,待定,待定,https://news.qq.com/rain/a/20250808A0470R00,2026-08-19T02:39:14
巫启贤,巫启贤2025《红尘来去梦太傻》巡回演唱会—上海站,上海,上海虹馆文化发展有限公司,2025-12-06 19:00,待定,待定,https://news.qq.com/rain/a/20250808A0470R00,2026-08-19T02:39:14
万妮达,万妮达2025《唤醒我》巡回演唱会—杭州站,杭州,黄龙体育中心体育馆,2025-08-30 19:30,380/580/680/780/980,已售罄,https://news.qq.com/rain/a/20250809A03JX400,2026-08-19T02:39:14
Katy Perry,Katy Perry THE LIFETIMES TOUR凯蒂·佩里杭州站,杭州,杭州奥体中心体育馆,2025-11-21 19:30,499/799/999/1599/1999/2599,已售罄,https://news.qq.com/rain/a/20250809A03JX400,2026-08-19T02:39:14
陈粒,陈粒《一粒》十周年巡回演唱会—杭州站,杭州,杭州奥体中心体育馆,2025-09-20 19:00,399/599/799/999,售票中,https://news.qq.com/rain/a/20250809A03JX400,2026-08-19T02:39:14
Capper,Capper《Who Am I》巡回演唱会—杭州站,杭州,黄龙体育中心体育馆,2025-08-23 19:00,380/580/780/980,已售罄,https://news.qq.com/rain/a/20250809A03JX400,2026-08-19T02:39:14
威神V,2025威神V演唱会《NO WAY OUT》杭州站,杭州,杭州奥体中心体育馆,2025-09-27 18:30,499/799/1199/1599/1999,售票中,https://news.qq.com/rain/a/20250809A03JX400,2026-08-19T02:39:14
陶喆,2025陶喆 Soul Power II 世界巡回演唱会—杭州站（3场）,杭州,杭州奥体中心体育场,2025-08-29 19:30,380/580/780/1080/1380,已售罄,https://news.qq.com/rain/a/20250809A03JX400,2026-08-19T02:39:14
周深,周深2025《深深的》巡回演唱会—杭州站（2场）,杭州,杭州奥体中心体育场,2025-09-13 19:30,399/699/929/1199/1399/1699,待定,https://news.qq.com/rain/a/20250809A03JX400,2026-08-19T02:39:14
滨崎步,滨崎步2025亚洲巡回演唱会—杭州站,杭州,杭州奥体中心体育馆,2025-10-11 19:30,待定,待定,https://news.qq.com/rain/a/20250809A03JX400,2026-08-19T02:39:14
张杰,2025张杰未·LIVE《开往1982》世界巡回演唱会—杭州站（3场）,杭州,杭州奥体中心体育场,2025-10-02 19:30,待定,待定,https://news.qq.com/rain/a/20250809A03JX400,2026-08-19T02:39:14
王赫野,王赫野2025《去吹一场野的风》2.0巡回演唱会—杭州站,杭州,浙江黄龙体育中心,2025-11-08 19:30,待定,待定,https://news.qq.com/rain/a/20250809A03JX400,2026-08-19T02:39:14
颜人中,颜人中《MOMENTⁿ》2025世界巡回演唱会—杭州站,杭州,杭州奥体中心体育馆,2025-11-08 19:30,待定,待定,https://news.qq.com/rain/a/20250809A03JX400,2026-08-19T02:39:14
陶喆,2025陶喆 Soul Power II演唱会—北京站（3场）,北京,国家体育场,2025-09-19 19:30,待定,待定,https://peking.bjd.com.cn/content/s68b64108e4b02424b0bf9f20.html,2026-08-19T02:39:14
鹿晗,2025鹿晗Season4亚洲巡演—北京站（2场）,北京,国家速滑馆（冰丝带）,2025-09-05 19:30,待定,待定,https://peking.bjd.com.cn/content/s68b64108e4b02424b0bf9f20.html,2026-08-19T02:39:14
陈小春,2025陈小春《生·旦·净·末·丑》演唱会—北京站（2场）,北京,华熙LIVE·五棵松,2025-09-13 19:30,待定,待定,https://peking.bjd.com.cn/content/s68b64108e4b02424b0bf9f20.html,2026-08-19T02:39:14
陈慧娴,2025陈慧娴40周年《Fabulous 40》演唱会—北京站,北京,国家体育馆,2025-09-06 19:30,待定,待定,https://peking.bjd.com.cn/content/s68b64108e4b02424b0bf9f20.html,2026-08-19T02:39:14
李玉刚,《幻·国潮》李玉刚巡回演唱会—成都站,成都,成都东安湖体育公园多功能体育馆,2025-10-04 19:30,280/480/680/880/1080/1280,售票中,https://news.qq.com/rain/a/20251001A06R8N00,2026-08-19T02:39:14
游鸿明,游鸿明《爱我的人和我爱的人》2025演唱会—成都站,成都,高新区体育中心·体育馆,2025-10-18 19:00,380/1080,售票中,https://news.qq.com/rain/a/20251001A06R8N00,2026-08-19T02:39:14
胡彦斌,胡彦斌2025《是一场烟火·刹那》巡回演唱会—成都站,成都,成都金融城演艺中心,2025-10-25 19:00,380/1080,售票中,https://news.qq.com/rain/a/20251001A06R8N00,2026-08-19T02:39:14
叶蓓,叶蓓《听说独写》演唱会—成都站,成都,东区超现场,2025-10-25 19:30,180/1314,售票中,https://news.qq.com/rain/a/20251001A06R8N00,2026-08-19T02:39:14
罗言,罗言《EXIT》2025巡回演唱会—成都站,成都,四川省体育馆,2025-10-25 19:30,288/888,售票中,https://news.qq.com/rain/a/20251001A06R8N00,2026-08-19T02:39:14
周深,周深2025《深深的》巡回演唱会—成都站（2场）,成都,成都东安湖体育公园主体育场,2025-11-01 19:30,399/1699,待定,https://news.qq.com/rain/a/20251001A06R8N00,2026-08-19T02:39:14
张震岳,张震岳《跟着感觉走》巡回演唱会—成都站,成都,成都金融城演艺中心,2025-11-29 19:00,380/980,待定,https://news.qq.com/rain/a/20251001A06R8N00,2026-08-19T02:39:14
颜人中,颜人中《MOMENTⁿ》2025世界巡回演唱会—成都站,成都,成都东安湖体育公园多功能体育馆,2025-11-22 19:00,380/1280,待定,https://news.qq.com/rain/a/20251001A06R8N00,2026-08-19T02:39:14
威神V,2025威神V演唱会《NO WAY OUT》成都站,成都,五粮液文化体育中心综合体育馆,2025-11-08 19:30,待定,待定,https://news.qq.com/rain/a/20251001A06R8N00,2026-08-19T02:39:14
邓紫棋,G.E.M.邓紫棋 I AM GLORIA世界巡回演唱会2.0—成都站加场,成都,成都东安湖体育公园主体育场,2025-10-17 19:30,待定,待定,https://news.qq.com/rain/a/20251001A06R8N00,2026-08-19T02:39:14
周兴哲,2025周兴哲《odyssey旅程》巡回演唱会—西安站,西安,西安奥体中心体育馆,2025-12-06 19:30,480/1180,售票中,https://news.qq.com/rain/a/20251202A075U600,2026-08-19T02:39:14
邰正宵等,时光流转经典重现群星演唱会—西安站,西安,西安市城市运动公园体育馆,2025-12-06 19:30,180/1480,待定,https://news.qq.com/rain/a/20251202A075U600,2026-08-19T02:39:14
崔健,2025崔健《继续撒点野》巡回演唱会—西安站,西安,西安曲江竞技中心,2025-12-20 19:30,388/988,售票中,https://news.qq.com/rain/a/20251202A075U600,2026-08-19T02:39:14
郑钧,2025郑钧《The Road of Joy狂喜之路》演唱会—西安站,西安,西安奥体中心体育馆,2025-12-27 19:30,280/980,售票中,https://news.qq.com/rain/a/20251202A075U600,2026-08-19T02:39:14
姜云升,姜云升《不息》2025新专场巡演2.0—西安站,西安,星球工厂LIVEHOUSE,2025-12-20 19:30,269/480,已售罄,https://news.qq.com/rain/a/20251202A075U600,2026-08-19T02:39:14
汪苏泷,汪苏泷《大娱乐家》新年限定演唱会—广州站（3场）,广州,宝能广州国际体育演艺中心,2024-12-30 19:30,380/2280,已结束,https://hk.trip.com/events/3372034-2025-guangzhou-concerts-collection,2026-08-19T02:39:14
群星,2025新年演唱会《BELOVED·特别的爱给特别的你》,广州,广州黄埔区科学城会议中心,2025-01-01 19:30,62/180,已结束,https://hk.trip.com/events/3372034-2025-guangzhou-concerts-collection,2026-08-19T02:39:14
谢天笑,谢天笑2024《超级本能》演唱会巡演—深圳站,深圳,深圳市体育中心体育馆副馆（AI Live House）,2025-01-04 19:30,338,已结束,https://hk.trip.com/events/3372020-2025-shenzhen-concerts-collection,2026-08-19T02:39:14
烈火乐队,《光辉岁月·追忆黄家驹31周年》新年演唱会—深圳站,深圳,深圳戏院,2025-01-01 19:30,280/480,已结束,https://hk.trip.com/events/3372020-2025-shenzhen-concerts-collection,2026-08-19T02:39:14
夜莺次元音乐节,夜莺次元音乐节·2025元旦交响,深圳,NUBOND AIR,2025-01-01 19:30,88/128/268/648,已结束,https://hk.trip.com/events/3372020-2025-shenzhen-concerts-collection,2026-08-19T02:39:14
Robert Wells,《摇滚的狂想》罗伯特·威尔斯巡回演唱会—深圳站,深圳,深圳世界之窗之环球舞台,2025-01-04 19:30,280/756,已结束,https://hk.trip.com/events/3372020-2025-shenzhen-concerts-collection,2026-08-19T02:39:14
李翊君,李翊君《永远∞永远》新年巡回演唱会—南京站,南京,南京太阳宫剧场,2025-01-01 19:30,180/680,已结束,https://hk.trip.com/events/3372370-2025-nanjing-concerts-collection,2026-08-19T02:39:14
郑钧,《头排·苏酒》1701跨年—郑钧《不要告别·此心永无别》,南京,1701 Live House Max,2025-01-01 19:30,498,已结束,https://hk.trip.com/events/3372370-2025-nanjing-concerts-collection,2026-08-19T02:39:14
张洢豪,2024张洢豪《散步季》巡回演唱会—南京站,南京,Owl Voice猫头鹰空间,2025-01-11 19:30,128/358,已结束,https://hk.trip.com/events/3372370-2025-nanjing-concerts-collection,2026-08-19T02:39:14
潘星宇,潘星宇个人演唱会—南京站,南京,稻香音乐空间,2025-01-11 19:30,128/368,已结束,https://hk.trip.com/events/3372370-2025-nanjing-concerts-collection,2026-08-19T02:39:14
王心凌,王心凌 SUGAR HIGH 2.0巡回演唱会—南京站（2场）,南京,南京青奥体育公园体育馆,2025-01-11 19:30,待定,已结束,https://hk.trip.com/events/3372370-2025-nanjing-concerts-collection,2026-08-19T02:39:14
